InvoiceNo,StockCode,Description,Quantity,InvoiceDate,CustomerID,UnitPrice_LKR,Total_Price_LKR,District
540001,40002,DILMAH EARL GREY TEA 50 BAGS,6,1/1/20 16:22,,850,5100,Kegalle
540002,40049,ROZA PASTA MACARONI 400G,1,1/2/20 8:26,401113,300,300,Batticaloa
540003,40022,ANCHOR MILK POWDER 400G,4,1/2/20 19:26,401149,1150,4600,Gampaha
540004,40071,MA MA NOODLES 5 PACK,2,1/3/20 17:14,401205,400,800,Gampaha
540005,40007,MUNCHEE CHOCOLATE BISCUIT 200G,5,1/3/20 20:29,401028,220,1100,Colombo
540006,40001,DILMAH CEYLON TEA 500G,12,1/5/20 19:37,401109,1200,14400,Colombo
540007,40008,MUNCHEE LEMON PUFF 200G,2,1/7/20 12:18,401203,200,400,Badulla
540008,40090,RITZBURY CHOCOLATE BAR 100G,5,1/7/20 15:41,401014,260,1300,Colombo
540009,40053,WIJAYA CHILLI POWDER 250G,3,1/11/20 10:03,401021,450,1350,Matara
540010,40033,HARISCHANDRA NOODLES 400G,1,1/13/20 12:53,401139,250,250,Ratnapura
540011,40002,DILMAH EARL GREY TEA 50 BAGS,10,1/16/20 15:54,401007,850,8500,Matara
540012,40034,HARISCHANDRA COFFEE 100G,1,1/16/20 16:36,401009,380,380,Kalutara
540013,40069,ANCHOR BUTTER 200G,4,1/20/20 19:00,401068,780,3120,Kurunegala
540014,40016,LINK SAMAHAN BOX (100 PACKETS),3,1/27/20 17:23,401150,1500,4500,Gampaha
540015,40063,MILO 400G,4,1/28/20 17:23,401108,780,3120,Gampaha
540016,40006,MUNCHEE SUPER CREAM CRACKER 500G,10,2/1/20 20:51,401183,450,4500,Polonnaruwa
540017,40006,MUNCHEE SUPER CREAM CRACKER 500G,2,2/2/20 19:23,,450,900,Kalutara
540018,40091,USWATTE SPICES MIXED CURRY POWDER 100G,1,2/6/20 11:07,401206,220,220,Kalutara
540019,40078,SOFTLOGIC COCONUT MILK 400ML,2,2/6/20 16:41,401050,320,640,Polonnaruwa
540020,40084,AKBAR TEA 400G,2,2/7/20 13:45,401153,700,1400,Kegalle
540021,40069,ANCHOR BUTTER 200G,1,2/12/20 17:13,401213,780,780,Moneragala
540022,40083,BOGAWANTALAWA TEA 400G,6,2/13/20 18:06,401107,900,5400,Gampaha
540023,40073,DELMEGE BASMATI RICE 5KG,4,2/14/20 14:34,401150,2100,8400,Polonnaruwa
540024,40003,DILMAH GREEN TEA 20 BAGS,2,2/20/20 15:48,401039,550,1100,Badulla
540025,40086,FITS COOKING OIL 1L,2,2/21/20 18:12,,1100,2200,Anuradhapura
540026,40002,DILMAH EARL GREY TEA 50 BAGS,4,2/22/20 15:26,401081,850,3400,Hambantota
540027,40061,VELVET BEAUTY SOAP 100G,3,3/1/20 15:40,401101,150,450,Badulla
540028,40035,CBL SAMAPOSHA 200G,2,3/7/20 17:11,401045,180,360,Matara
540029,40003,DILMAH GREEN TEA 20 BAGS,3,3/9/20 19:39,401094,550,1650,Kegalle
540030,40004,ZESTA TEA 400G,1,3/10/20 15:13,401143,1050,1050,Colombo
540031,40045,PANADOL 100 TABLETS,2,3/11/20 18:32,401061,450,900,Gampaha
540032,40008,MUNCHEE LEMON PUFF 200G,8,3/13/20 10:26,401051,200,1600,Trincomalee
540033,40091,USWATTE SPICES MIXED CURRY POWDER 100G,5,3/14/20 13:09,,220,1100,Gampaha
540034,40018,MD MANGO CHUTNEY 400G,20,3/16/20 19:37,401080,650,13000,Gampaha
540035,40001,DILMAH CEYLON TEA 500G,1,3/17/20 12:08,401138,1200,1200,Colombo
540036,40002,DILMAH EARL GREY TEA 50 BAGS,1,3/18/20 15:29,401047,850,850,Batticaloa
540037,40018,MD MANGO CHUTNEY 400G,4,3/18/20 19:01,401214,650,2600,Jaffna
540038,40086,FITS COOKING OIL 1L,2,3/21/20 16:51,401197,1100,2200,Colombo
540039,40012,MALIBAN CREAM CRACKER 500G,2,3/21/20 19:00,401014,420,840,Ratnapura
540040,40005,WATAWALA TEA 400G,1,3/25/20 19:33,401054,780,780,Badulla
540041,40035,CBL SAMAPOSHA 200G,5,3/28/20 11:12,401006,180,900,Colombo
540042,40003,DILMAH GREEN TEA 20 BAGS,2,3/29/20 8:20,401105,550,1100,Trincomalee
540043,40004,ZESTA TEA 400G,8,3/30/20 16:23,401062,1050,8400,Colombo
540044,40082,NECTO 1.5L,3,4/1/20 8:25,401049,350,1050,Colombo
540045,40007,MUNCHEE CHOCOLATE BISCUIT 200G,15,4/3/20 19:47,,220,3300,Jaffna
540046,40061,VELVET BEAUTY SOAP 100G,3,4/7/20 10:26,,150,450,Matara
540047,40021,ELEPHANT HOUSE VANILLA ICE CREAM 1L,5,4/7/20 13:08,401008,800,4000,Galle
540048,40004,ZESTA TEA 400G,5,4/9/20 18:32,,1050,5250,Kegalle
540049,40016,LINK SAMAHAN BOX (100 PACKETS),1,4/12/20 11:33,401073,1500,1500,Jaffna
540050,40016,LINK SAMAHAN BOX (100 PACKETS),3,4/13/20 14:45,401200,1500,4500,Vavuniya
540051,40059,SURF EXCEL 1KG,2,4/14/20 15:10,401169,850,1700,Galle
540052,40007,MUNCHEE CHOCOLATE BISCUIT 200G,4,4/14/20 16:43,401221,220,880,Ampara
540053,40018,MD MANGO CHUTNEY 400G,2,4/18/20 12:35,401163,650,1300,Polonnaruwa
C540054,40055,LIFEBUOY SOAP 100G,-2,4/21/20 17:44,,130,-260,Matara
540055,40007,MUNCHEE CHOCOLATE BISCUIT 200G,8,4/23/20 18:41,401188,220,1760,Gampaha
540056,40087,CARGILLS MAGIC SAUSAGES 400G,4,4/23/20 19:20,401109,780,3120,Colombo
540057,40014,SPA CEYLON HAND CREAM,2,4/30/20 16:30,,2200,4400,Ampara
540058,40001,DILMAH CEYLON TEA 500G,1,5/1/20 12:45,,1200,1200,Ampara
