InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,UnitPrice_LKR,Total_Price_LKR,District
500362,40013,SPA CEYLON SLEEP BODY LOTION,3,2020-01-25 16:02:44,24.6,,4460.41,13381.23,Ampara
500362,40102,DIAMOND COOKING OIL 1L,8,2020-01-25 16:02:44,4.26,,772.47,6179.76,Ampara
500194,40014,SPA CEYLON HAND CREAM,12,2020-02-01 16:29:44,13.19,14616,2393.83,28725.96,Kandy
500194,40074,ARALIYA WHITE RICE 5KG,19,2020-02-01 16:29:44,8.52,14616,1546.17,29377.23,Kandy
500194,40021,ELEPHANT HOUSE VANILLA ICE CREAM 1L,11,2020-02-01 16:29:44,5.22,14616,946.14,10407.54,Kandy
500194,40101,CBL EDGE COOKING OIL 1L,2,2020-02-01 16:29:44,4.59,14616,832.61,1665.22,Kandy
500194,40098,BAIRAHA CHICKEN SAUSAGES 500G,4,2020-02-01 16:29:44,3.46,14616,628.39,2513.56,Kandy
500129,40062,NESTOMALT 400G,10,2020-02-19 13:46:08,3.82,,694.86,6948.6,Gampaha
500129,40069,ANCHOR BUTTER 200G,9,2020-02-19 13:46:08,5.08,,923.0,8307.0,Gampaha
500129,40049,ROZA PASTA MACARONI 400G,9,2020-02-19 13:46:08,1.86,,338.76,3048.84,Gampaha
500129,40109,CARGILLS SQUARE DEAL WHITE SUGAR 1KG,5,2020-02-19 13:46:08,1.76,,320.56,1602.8,Gampaha
500129,40047,PELWATTE BUTTER 200G,4,2020-02-19 13:46:08,4.32,,785.14,3140.56,Gampaha
500129,40024,HIGHLAND MILK 1L,6,2020-02-19 13:46:08,2.69,,488.6,2931.6,Gampaha
500129,40059,SURF EXCEL 1KG,8,2020-02-19 13:46:08,5.45,,990.85,7926.8,Gampaha
500129,40003,DILMAH GREEN TEA 20 BAGS,11,2020-02-19 13:46:08,3.6,,653.86,7192.46,Gampaha
500129,40055,LIFEBUOY SOAP 100G,1,2020-02-19 13:46:08,0.87,,158.25,158.25,Gampaha
500124,40100,HARISCHANDRA MILK TEA POWDER 200G,12,2020-03-02 13:48:05,2.71,14086,493.39,5920.68,Colombo
500124,40092,ARALIYA COCONUT MILK POWDER 300G,54,2020-03-02 13:48:05,4.24,14086,770.98,41632.92,Colombo
500124,40018,MD MANGO CHUTNEY 400G,8,2020-03-02 13:48:05,4.11,14086,747.09,5976.72,Colombo
500124,40076,CEYLON COLD STORES YOGHURT 80G,10,2020-03-02 13:48:05,0.57,14086,103.02,1030.2,Colombo
500124,40045,PANADOL 100 TABLETS,9,2020-03-02 13:48:05,3.16,14086,574.97,5174.73,Colombo
500124,40063,MILO 400G,5,2020-03-02 13:48:05,5.16,14086,937.48,4687.4,Colombo
500124,40028,BAIRAHA CHICKEN 1KG,8,2020-03-02 13:48:05,9.37,14086,1703.12,13624.96,Colombo
500323,40091,USWATTE SPICES MIXED CURRY POWDER 100G,3,2020-03-15 18:05:40,1.54,14085,280.82,842.46,Matale
500323,40024,HIGHLAND MILK 1L,7,2020-03-15 18:05:40,2.27,14085,413.42,2893.94,Matale
500323,40048,EDINBOROUGH SOY SAUCE 400ML,2,2020-03-15 18:05:40,2.36,14085,430.19,860.38,Matale
500323,40012,MALIBAN CREAM CRACKER 500G,7,2020-03-15 18:05:40,2.76,14085,501.93,3513.51,Matale
500323,40109,CARGILLS SQUARE DEAL WHITE SUGAR 1KG,7,2020-03-15 18:05:40,1.82,14085,332.09,2324.63,Matale
500323,40100,HARISCHANDRA MILK TEA POWDER 200G,10,2020-03-15 18:05:40,2.93,14085,533.76,5337.6,Matale
500323,40009,MUNCHEE TIKIRI MARIE 80G,4,2020-03-15 18:05:40,0.45,14085,81.7,326.8,Matale
500323,40004,ZESTA TEA 400G,2,2020-03-15 18:05:40,6.97,14085,1269.24,2538.48,Matale
500323,40024,HIGHLAND MILK 1L,5,2020-03-15 18:05:40,2.84,14085,516.9,2584.5,Matale
500118,40102,DIAMOND COOKING OIL 1L,8,2020-04-22 12:00:10,4.97,14409,906.65,7253.2,Colombo
500118,40107,AMBEWELA FRESH MILK 1L,5,2020-04-22 12:00:10,1.89,14409,344.08,1720.4,Colombo
500118,40026,KITHUL TREACLE 750ML,9,2020-04-22 12:00:10,10.81,14409,1973.61,17762.49,Colombo
500118,40111,ASTRA MAYONNAISE 250G,9,2020-04-22 12:00:10,2.72,14409,497.14,4474.26,Colombo
500118,40071,MA MA NOODLES 5 PACK,2,2020-04-22 12:00:10,2.42,14409,441.48,882.96,Colombo
500118,40033,HARISCHANDRA NOODLES 400G,5,2020-04-22 12:00:10,1.74,14409,318.52,1592.6,Colombo
500118,40030,KIST MIXED FRUIT NECTAR 1L,17,2020-04-22 12:00:10,3.39,14409,618.84,10520.28,Colombo
500209,40035,CBL SAMAPOSHA 200G,9,2020-05-05 14:45:45,1.21,,220.92,1988.28,Matara
500209,40065,FAIR & LOVELY CREAM 50G,28,2020-05-05 14:45:45,2.27,,414.85,11615.8,Matara
500209,40021,ELEPHANT HOUSE VANILLA ICE CREAM 1L,11,2020-05-05 14:45:45,5.19,,947.68,10424.48,Matara
500209,40100,HARISCHANDRA MILK TEA POWDER 200G,7,2020-05-05 14:45:45,2.46,,448.7,3140.9,Matara
500209,40079,CEYLON TOBACCO (CIGARETTES PACK),1,2020-05-05 14:45:45,7.62,,1392.47,1392.47,Matara
500209,40032,PRIMA STELLA NOODLES 400G,11,2020-05-05 14:45:45,1.75,,319.43,3513.73,Matara
500209,40043,ASTRA MARGARINE 250G,10,2020-05-05 14:45:45,2.81,,513.95,5139.5,Matara
500209,40107,AMBEWELA FRESH MILK 1L,39,2020-05-05 14:45:45,2.13,,388.68,15158.52,Matara
500209,40068,CLOSE UP TOOTHPASTE 120G,11,2020-05-05 14:45:45,1.45,,265.42,2919.62,Matara
500209,40017,MD MIXED FRUIT JAM 500G,9,2020-05-05 14:45:45,4.09,,748.1,6732.9,Matara
500209,40079,CEYLON TOBACCO (CIGARETTES PACK),8,2020-05-05 14:45:45,7.94,,1451.27,11610.16,Matara
500209,40108,RICHLIFE MILK POWDER 400G,1,2020-05-05 14:45:45,6.53,,1193.28,1193.28,Matara
C500095,40073,DELMEGE BASMATI RICE 5KG,-11,2020-06-17 14:13:44,13.62,14002,2497.48,-27472.28,Badulla
500393,40003,DILMAH GREEN TEA 20 BAGS,11,2020-06-27 14:02:31,3.46,,633.93,6973.23,Gampaha
500393,40009,MUNCHEE TIKIRI MARIE 80G,49,2020-06-27 14:02:31,0.46,,83.53,4092.97,Gampaha
500393,40092,ARALIYA COCONUT MILK POWDER 300G,9,2020-06-27 14:02:31,4.18,,767.07,6903.63,Gampaha
500393,40030,KIST MIXED FRUIT NECTAR 1L,12,2020-06-27 14:02:31,3.6,,661.06,7932.72,Gampaha
500393,DELV,COURIER DELIVERY CHARGE,11,2020-06-27 14:02:31,1.64,,300.0,3300.0,Gampaha
500393,40096,MALIBAN CHOCOLATE WAFER 100G,3,2020-06-27 14:02:31,1.47,,269.26,807.78,Gampaha
500393,40046,MARMITE 100G,10,2020-06-27 14:02:31,5.09,,932.87,9328.7,Gampaha
500393,40113,GILLETTE SHAVING FOAM 200ML,1,2020-06-27 14:02:31,4.27,,782.8,782.8,Gampaha
500393,40081,SPRITE 1.5L,1,2020-06-27 14:02:31,2.08,,382.04,382.04,Gampaha
500393,40009,MUNCHEE TIKIRI MARIE 80G,2,2020-06-27 14:02:31,0.49,,89.05,178.1,Gampaha
500393,40059,SURF EXCEL 1KG,12,2020-06-27 14:02:31,5.78,,1060.42,12725.04,Gampaha
500393,40015,SIDDHALEPA BALM 50G,8,2020-06-27 14:02:31,1.59,,291.93,2335.44,Gampaha
500393,40049,ROZA PASTA MACARONI 400G,7,2020-06-27 14:02:31,1.72,,315.71,2209.97,Gampaha
500393,40104,CEYLON CINNAMON POWDER 100G,9,2020-06-27 14:02:31,2.18,,399.64,3596.76,Gampaha
500393,40071,MA MA NOODLES 5 PACK,12,2020-06-27 14:02:31,2.69,,493.7,5924.4,Gampaha
