InvoiceNo,StockCode,Description,Quantity,InvoiceDate,CustomerID,UnitPrice_LKR,Total_Price_LKR,District
501045,20051,LACQUER WORK BANGLE SET OF 4,1,1/4/20 14:38,14135,747.699726,747.699726,Matale
501045,20027,COIR DOOR MAT ELEPHANT PRINT,8,1/4/20 14:38,14135,1079.004932,8632.039452,Matale
501045,20080,WOODEN ELEPHANT PUZZLE TOY,8,1/4/20 14:38,14135,885.2909589,7082.327671,Matale
501045,20002,HANDLOOM COTTON CUSHION COVER PAISLEY,6,1/4/20 14:38,14135,838.220274,5029.321644,Matale
501045,20046,WOODEN MASK TRADITIONAL COBRA DESIGN,7,1/4/20 14:38,14135,1683.682192,11785.77534,Matale
501045,20039,TERRACOTTA WIND CHIME,12,1/4/20 14:38,14135,686.1457534,8233.749041,Matale
501045,20036,CLAY POT PAINTED SMALL,7,1/4/20 14:38,14135,582.9523288,4080.666301,Matale
501045,20099,BATIK APRON KITCHEN PRINT,2,1/4/20 14:38,14135,926.930411,1853.860822,Matale
501045,20031,RATTAN STORAGE BASKET SET OF 3,3,1/4/20 14:38,14135,2561.731507,7685.194521,Matale
501045,20014,HANDWOVEN COTTON TOTE BAG STRIPE,9,1/4/20 14:38,14135,695.1978082,6256.780274,Matale
501045,20074,CEYLON VANILLA PODS GIFT SET,10,1/4/20 14:38,14135,1850.24,18502.4,Matale
501045,20000,HANDLOOM COTTON CUSHION COVER STRIPE,9,1/4/20 14:38,14135,850.8931507,7658.038356,Matale
501276,20042,BRASS ELEPHANT FIGURINE LARGE,4,1/5/20 14:42,14191,1790.631918,7162.527671,Colombo
501276,20039,TERRACOTTA WIND CHIME,7,1/5/20 14:42,14191,724.2191781,5069.534247,Colombo
501276,20027,COIR DOOR MAT ELEPHANT PRINT,10,1/5/20 14:42,14191,1079.086575,10790.86575,Colombo
501276,20047,WOODEN MASK TRADITIONAL RAKSHA,11,1/5/20 14:42,14191,1767.094795,19438.04274,Colombo
501276,20102,BRASS BELL TRADITIONAL SMALL,4,1/5/20 14:42,14191,604.7230137,2418.892055,Colombo
501231,20039,TERRACOTTA WIND CHIME,1,1/6/20 17:57,,722.4632877,722.4632877,Kandy
501231,20021,BATIK SILK SCARF PAISLEY PURPLE,5,1/6/20 17:57,,1472.086849,7360.434247,Kandy
501231,20042,BRASS ELEPHANT FIGURINE LARGE,11,1/6/20 17:57,,1819.738356,20017.12192,Kandy
501231,20098,HANDLOOM CUSHION COVER SET OF 2 STRIPE,12,1/6/20 17:57,,1560.810411,18729.72493,Kandy
501231,20019,BATIK PRINT CUSHION COVER ELEPHANT,6,1/6/20 17:57,,983.2019178,5899.211507,Kandy
501231,20074,CEYLON VANILLA PODS GIFT SET,11,1/6/20 17:57,,1866.816164,20534.97781,Kandy
501231,20109,WOODEN MASK KEYRING SMALL,2,1/6/20 17:57,,266.1706849,532.3413699,Kandy
501231,20105,HANDLOOM BEDSPREAD SINGLE SIZE,10,1/6/20 17:57,,3152.402466,31524.02466,Kandy
501231,20112,COIR HANGING PLANT POT HOLDER,1,1/6/20 17:57,,693.4923288,693.4923288,Kandy
501231,20076,MOONSTONE EARRINGS SILVER DROP,10,1/6/20 17:57,,2303.191233,23031.91233,Kandy
501231,20071,CLOVES GIFT JAR SMALL,9,1/6/20 17:57,,689.8709589,6208.83863,Kandy
501231,20068,SPICE GIFT SET ISLAND BLEND,9,1/6/20 17:57,,1618.752329,14568.77096,Kandy
501231,20030,RATTAN LAUNDRY BASKET ROUND,11,1/6/20 17:57,,2219.899726,24418.89699,Kandy
501231,20052,LACQUER WORK BOX SMALL ROUND,11,1/6/20 17:57,,1046.57589,11512.33479,Kandy
501231,20088,SANDALWOOD SOAP BAR HANDMADE,9,1/6/20 17:57,,407.4041096,3666.636986,Kandy
501231,20090,COCONUT SHELL BATH SPONGE,6,1/6/20 17:57,,320.4912329,1922.947397,Kandy
501231,20084,CLOTH DOLL FISHERMAN STILT,8,1/6/20 17:57,,1301.882466,10415.05973,Kandy
501231,20108,CLAY OIL LAMP PAINTED SET OF 3,12,1/6/20 17:57,,968.7164384,11624.59726,Kandy
501231,20027,COIR DOOR MAT ELEPHANT PRINT,10,1/6/20 17:57,,1033.901096,10339.01096,Kandy
501231,20049,WOODEN ELEPHANT CARVING LARGE,9,1/6/20 17:57,,2554.876438,22993.88795,Kandy
500637,20050,WOODEN PEACOCK CARVING MEDIUM,8,1/9/20 17:50,14158,1503.209589,12025.67671,Kegalle
500637,20057,COCONUT SHELL BUTTON JAR,12,1/9/20 17:50,14158,432.8519178,5194.223014,Kegalle
500637,20099,BATIK APRON KITCHEN PRINT,6,1/9/20 17:50,14158,961.6919178,5770.151507,Kegalle
500637,20027,COIR DOOR MAT ELEPHANT PRINT,7,1/9/20 17:50,14158,1073.979863,7517.859041,Kegalle
500637,20026,COIR DOOR MAT WELCOME PRINT,9,1/9/20 17:50,14158,963.5030137,8671.527123,Kegalle
500637,20113,BAMBOO STRAW SET OF 6 REUSABLE,14,1/9/20 17:50,14158,441.9073973,6186.703562,Kegalle
500637,20016,BATIK COTTON SARONG BLUE,5,1/9/20 17:50,14158,1206.189863,6030.949315,Kegalle
500637,20089,HERBAL AYURVEDA BATH SET GIFT,7,1/9/20 17:50,14158,1870.862055,13096.03438,Kegalle
500637,20053,LACQUER WORK PEN HOLDER,7,1/9/20 17:50,14158,655.6167123,4589.316986,Kegalle
500637,20064,CEYLON CINNAMON STICKS PACK 100G,9,1/9/20 17:50,14158,726.2494521,6536.245068,Kegalle
500637,20092,CLAY COOKING POT LARGE TRADITIONAL,1,1/9/20 17:50,14158,1754.951918,1754.951918,Kegalle
500637,20059,PALMYRAH LEAF FAN NATURAL,5,1/9/20 17:50,14158,387.5745205,1937.872603,Kegalle
500637,20009,HANDLOOM BABY BLANKET PASTEL,3,1/9/20 17:50,14158,1778.496164,5335.488493,Kegalle
500637,20019,BATIK PRINT CUSHION COVER ELEPHANT,9,1/9/20 17:50,14158,979.8028767,8818.22589,Kegalle
500637,20055,COCONUT SHELL BOWL SET OF 3,5,1/9/20 17:50,14158,833.1041096,4165.520548,Kegalle
500637,20080,WOODEN ELEPHANT PUZZLE TOY,40,1/9/20 17:50,14158,851.2150685,34048.60274,Kegalle
500637,20004,HANDLOOM TABLE RUNNER MULTICOLOUR,7,1/9/20 17:50,14158,1287.689178,9013.824247,Kegalle
500637,20063,HANDMADE PAPER GREETING CARD SET,11,1/9/20 17:50,14158,586.7950685,6454.745753,Kegalle
501156,20021,BATIK SILK SCARF PAISLEY PURPLE,10,1/12/20 11:08,14054,1608.618082,16086.18082,Gampaha
501156,20027,COIR DOOR MAT ELEPHANT PRINT,11,1/12/20 11:08,14054,1027.124384,11298.36822,Gampaha
501156,20042,BRASS ELEPHANT FIGURINE LARGE,6,1/12/20 11:08,14054,1742.669589,10456.01753,Gampaha
