InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,Description,District,Total_Price_LKR
EH-2022000001,20157,2022-01-01 15:37:51,1,4440,Bluetooth Earbuds,Matale,4440
EH-2022000001,20157,2022-01-01 15:37:51,2,1000,Extension Cord (4-Socket),Matale,2000
EH-2022000001,20157,2022-01-01 15:37:51,1,7480,Sony Bluetooth Speaker,Matale,7480
EH-2022000002,20162,2022-01-01 17:41:47,1,8410,itel Feature Phone,Ratnapura,8410
EH-2022000002,20162,2022-01-01 17:41:47,1,36620,Singer LED TV 32-inch,Ratnapura,36620
EH-2022000003,20062,2022-01-01 19:06:41,1,19340,Panasonic Inverter 700VA,Colombo,19340
EH-2022000003,20062,2022-01-01 19:06:41,1,900,Rechargeable LED Bulb,Colombo,900
EH-2022000003,20062,2022-01-01 19:06:41,1,2080,Laptop Cooling Pad,Colombo,2080
EH-2022000004,20187,2022-01-02 17:19:44,1,8660,itel Feature Phone,Gampaha,8660
EH-2022000005,20168,2022-01-02 19:44:44,1,4740,Bluetooth Earbuds,Gampaha,4740
EH-2022000005,20168,2022-01-02 19:44:44,2,3380,Power Bank 10000mAh,Gampaha,6760
EH-2022000006,20024,2022-01-02 20:31:21,1,2080,Laptop Cooling Pad,Colombo,2080
EH-2022000007,20025,2022-01-06 14:16:02,1,65670,Singer LED TV 43-inch,Colombo,65670
EH-2022000007,20025,2022-01-06 14:16:02,2,3940,Philips Electric Kettle,Colombo,7880
EH-2022000007,20025,2022-01-06 14:16:02,1,22380,Inverter Battery 12V 100Ah,Colombo,22380
EH-2022000008,20053,2022-01-06 14:49:32,1,4520,Bluetooth Earbuds,Ratnapura,4520
EH-2022000009,20077,2022-01-06 15:09:10,2,1000,Extension Cord (4-Socket),Matale,2000
EH-2022000009,20077,2022-01-06 15:09:10,1,3140,Power Bank 10000mAh,Matale,3140
EH-2022000010,20057,2022-01-06 17:16:13,1,950,Extension Cord (4-Socket),Gampaha,950
EH-2022000011,20005,2022-01-06 19:37:50,1,33470,Singer LED TV 32-inch,Colombo,33470
EH-2022000011,20005,2022-01-06 19:37:50,1,4500,Bluetooth Earbuds,Colombo,4500
EH-2022000012,20243,2022-01-07 12:06:49,1,36910,Singer LED TV 32-inch,Colombo,36910
