InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,UnitPrice_LKR,Total_Price_LKR,District
501045,20051,LACQUER WORK BANGLE SET OF 4,1,2020-01-04 14:38:13,4.13,14135,747.6997260273972,747.6997260273972,Matale
501045,20027,COIR DOOR MAT ELEPHANT PRINT,8,2020-01-04 14:38:13,5.96,14135,1079.0049315068493,8632.039452054794,Matale
501045,20080,WOODEN ELEPHANT PUZZLE TOY,8,2020-01-04 14:38:13,4.89,14135,885.2909589041095,7082.327671232876,Matale
501045,20002,HANDLOOM COTTON CUSHION COVER PAISLEY,6,2020-01-04 14:38:13,4.63,14135,838.2202739726027,5029.321643835617,Matale
501045,20046,WOODEN MASK TRADITIONAL COBRA DESIGN,7,2020-01-04 14:38:13,9.3,14135,1683.682191780822,11785.775342465753,Matale
501045,20039,TERRACOTTA WIND CHIME,12,2020-01-04 14:38:13,3.79,14135,686.1457534246575,8233.74904109589,Matale
501045,20036,CLAY POT PAINTED SMALL,7,2020-01-04 14:38:13,3.22,14135,582.9523287671233,4080.666301369863,Matale
501045,20099,BATIK APRON KITCHEN PRINT,2,2020-01-04 14:38:13,5.12,14135,926.9304109589041,1853.8608219178082,Matale
501045,20031,RATTAN STORAGE BASKET SET OF 3,3,2020-01-04 14:38:13,14.15,14135,2561.7315068493153,7685.194520547946,Matale
501045,20014,HANDWOVEN COTTON TOTE BAG STRIPE,9,2020-01-04 14:38:13,3.84,14135,695.197808219178,6256.780273972602,Matale
501045,20074,CEYLON VANILLA PODS GIFT SET,10,2020-01-04 14:38:13,10.22,14135,1850.24,18502.4,Matale
501045,20000,HANDLOOM COTTON CUSHION COVER STRIPE,9,2020-01-04 14:38:13,4.7,14135,850.8931506849316,7658.038356164384,Matale
501276,20042,BRASS ELEPHANT FIGURINE LARGE,4,2020-01-05 14:42:46,9.89,14191,1790.6319178082192,7162.527671232877,Colombo
501276,20039,TERRACOTTA WIND CHIME,7,2020-01-05 14:42:46,4.0,14191,724.2191780821918,5069.534246575342,Colombo
501276,20027,COIR DOOR MAT ELEPHANT PRINT,10,2020-01-05 14:42:46,5.96,14191,1079.0865753424657,10790.865753424658,Colombo
501276,20047,WOODEN MASK TRADITIONAL RAKSHA,11,2020-01-05 14:42:46,9.76,14191,1767.0947945205478,19438.042739726025,Colombo
501276,20102,BRASS BELL TRADITIONAL SMALL,4,2020-01-05 14:42:46,3.34,14191,604.7230136986301,2418.8920547945204,Colombo
501231,20039,TERRACOTTA WIND CHIME,1,2020-01-06 17:57:08,3.99,,722.4632876712329,722.4632876712329,Kandy
