InvoiceNo,CustomerID,InvoiceDate,Quantity,UnitPrice,Description,District,Total_Price_LKR
SM-2020000001,10318,2020-01-02 08:49:54,2,320,Fresh Milk 1L (Pelwatte),Ratnapura,640
SM-2020000001,10318,2020-01-02 08:49:54,3,145,Bread Loaf (Large),Ratnapura,435
SM-2020000001,10318,2020-01-02 08:49:54,2,335,Elephant House Cream Soda 1.5L,Ratnapura,670
SM-2020000001,10318,2020-01-02 08:49:54,3,165,Prima Wheat Noodles,Ratnapura,495
SM-2020000001,10318,2020-01-02 08:49:54,2,205,Chilli Powder 250g,Ratnapura,410
SM-2020000001,10318,2020-01-02 08:49:54,2,265,Signal Toothpaste 120g,Ratnapura,530
SM-2020000001,10318,2020-01-02 08:49:54,2,335,Sunlight Dishwash Liquid 425ml,Ratnapura,670
SM-2020000001,10318,2020-01-02 08:49:54,1,1110,Kekulu Rice 5kg,Ratnapura,1110
SM-2020000002,10078,2020-01-02 17:52:10,2,90,Kotmale Yogurt Cup,Jaffna,180
SM-2020000002,10078,2020-01-02 17:52:10,3,145,Maliban Marie Biscuits,Jaffna,435
SM-2020000002,10078,2020-01-02 17:52:10,2,1090,Kekulu Rice 5kg,Jaffna,2180
SM-2020000002,10078,2020-01-02 17:52:10,1,210,Chilli Powder 250g,Jaffna,210
SM-2020000002,10078,2020-01-02 17:52:10,2,340,Elephant House Cream Soda 1.5L,Jaffna,680
SM-2020000003,10181,2020-01-02 20:48:18,1,1110,Kekulu Rice 5kg,Colombo,1110
SM-2020000003,10181,2020-01-02 20:48:18,2,335,Fresh Milk 1L (Pelwatte),Colombo,670
SM-2020000003,10181,2020-01-02 20:48:18,3,145,Bread Loaf (Large),Colombo,435
SM-2020000003,10181,2020-01-02 20:48:18,3,435,Anchor Full Cream Milk (Tin),Colombo,1305
SM-2020000003,10181,2020-01-02 20:48:18,1,495,Coconut Oil 1L,Colombo,495
SM-2020000003,10181,2020-01-02 20:48:18,1,650,Milk Powder (Ranmalu) 400g,Colombo,650
SM-2020000003,10181,2020-01-02 20:48:18,1,155,Prima Wheat Noodles,Colombo,155
SM-2020000004,10132,2020-01-03 13:00:52,3,315,Fresh Milk 1L (Pelwatte),Colombo,945
SM-2020000004,10132,2020-01-03 13:00:52,1,255,Curry Powder 250g,Colombo,255
SM-2020000005,10103,2020-01-04 19:34:55,1,280,Maggi Noodles (5-pack),Colombo,280
SM-2020000005,10103,2020-01-04 19:34:55,1,770,Nivea Body Lotion 400ml,Colombo,770
SM-2020000005,10103,2020-01-04 19:34:55,1,145,Bread Loaf (Large),Colombo,145
SM-2020000005,10103,2020-01-04 19:34:55,2,1445,Basmathi Rice 5kg,Colombo,2890
SM-2020000006,10246,2020-01-06 16:31:16,2,1495,Basmathi Rice 5kg,Ratnapura,2990
SM-2020000006,10246,2020-01-06 16:31:16,2,605,Milk Powder (Ranmalu) 400g,Ratnapura,1210
SM-2020000006,10246,2020-01-06 16:31:16,1,320,Fresh Milk 1L (Pelwatte),Ratnapura,320
SM-2020000006,10246,2020-01-06 16:31:16,2,385,Dilmah Tea 200g,Ratnapura,770
SM-2020000006,10246,2020-01-06 16:31:16,1,765,Kotmale Ice Cream 1L,Ratnapura,765
SM-2020000006,10246,2020-01-06 16:31:16,3,175,White Sugar 1kg,Ratnapura,525
SM-2020000007,10096,2020-01-06 18:10:25,1,1115,Kekulu Rice 5kg,Colombo,1115
SM-2020000007,10096,2020-01-06 18:10:25,3,90,Kotmale Yogurt Cup,Colombo,270
SM-2020000007,10096,2020-01-06 18:10:25,2,175,White Sugar 1kg,Colombo,350
SM-2020000007,10096,2020-01-06 18:10:25,1,635,Milk Powder (Ranmalu) 400g,Colombo,635
SM-2020000008,10321,2020-01-07 17:29:11,3,180,White Sugar 1kg,Kandy,540
SM-2020000008,10321,2020-01-07 17:29:11,1,945,Eggs (Tray of 30),Kandy,945
SM-2020000008,10321,2020-01-07 17:29:11,2,1465,Basmathi Rice 5kg,Kandy,2930
SM-2020000008,10321,2020-01-07 17:29:11,3,425,Anchor Full Cream Milk (Tin),Kandy,1275
SM-2020000008,10321,2020-01-07 17:29:11,2,155,Prima Wheat Noodles,Kandy,310
SM-2020000009,10153,2020-01-08 09:51:01,1,965,Eggs (Tray of 30),Kalutara,965
SM-2020000009,10153,2020-01-08 09:51:01,2,260,Signal Toothpaste 120g,Kalutara,520
SM-2020000009,10153,2020-01-08 09:51:01,2,340,Elephant House Cream Soda 1.5L,Kalutara,680
SM-2020000010,10261,2020-01-09 09:59:48,1,290,Maggi Noodles (5-pack),Gampaha,290
SM-2020000010,10261,2020-01-09 09:59:48,1,430,Araliya Soap Powder 1kg,Gampaha,430
SM-2020000010,10261,2020-01-09 09:59:48,4,145,Munchee Cream Crackers,Gampaha,580
SM-2020000010,10261,2020-01-09 09:59:48,2,140,Bread Loaf (Large),Gampaha,280
SM-2020000010,10261,2020-01-09 09:59:48,1,940,Eggs (Tray of 30),Gampaha,940
SM-2020000010,10261,2020-01-09 09:59:48,1,475,Coconut Oil 1L,Gampaha,475
SM-2020000010,10261,2020-01-09 09:59:48,1,260,Signal Toothpaste 120g,Gampaha,260
SM-2020000010,10261,2020-01-09 09:59:48,2,385,Dilmah Tea 200g,Gampaha,770
SM-2020000011,10080,2020-01-09 12:08:26,4,150,Munchee Cream Crackers,Kalutara,600
SM-2020000011,10080,2020-01-09 12:08:26,3,285,Maggi Noodles (5-pack),Kalutara,855
SM-2020000011,10080,2020-01-09 12:08:26,1,335,Dhal (Red Lentils) 1kg,Kalutara,335
SM-2020000012,10387,2020-01-10 13:16:00,2,260,Signal Toothpaste 120g,Galle,520
SM-2020000012,10387,2020-01-10 13:16:00,2,730,Milk Powder (Anchor) 400g,Galle,1460
SM-2020000012,10387,2020-01-10 13:16:00,1,775,Kotmale Ice Cream 1L,Galle,775
SM-2020000012,10387,2020-01-10 13:16:00,1,250,Ceylon Cinnamon 100g,Galle,250
SM-2020000012,10387,2020-01-10 13:16:00,1,200,Wheat Flour 1kg,Galle,200
SM-2020000012,10387,2020-01-10 13:16:00,1,425,Araliya Soap Powder 1kg,Galle,425
SM-2020000012,10387,2020-01-10 13:16:00,1,155,Munchee Cream Crackers,Galle,155
SM-2020000013,10100,2020-01-10 13:34:51,2,255,Curry Powder 250g,Kandy,510
SM-2020000013,10100,2020-01-10 13:34:51,2,330,Sunlight Dishwash Liquid 425ml,Kandy,660
SM-2020000013,10100,2020-01-10 13:34:51,2,930,Eggs (Tray of 30),Kandy,1860
SM-2020000013,10100,2020-01-10 13:34:51,1,270,Maggi Noodles (5-pack),Kandy,270
SM-2020000013,10100,2020-01-10 13:34:51,2,595,Milk Powder (Ranmalu) 400g,Kandy,1190
SM-2020000013,10100,2020-01-10 13:34:51,4,135,Maliban Marie Biscuits,Kandy,540
SM-2020000013,10100,2020-01-10 13:34:51,1,260,Signal Toothpaste 120g,Kandy,260
SM-2020000013,10100,2020-01-10 13:34:51,2,745,Milk Powder (Anchor) 400g,Kandy,1490
SM-2020000014,10304,2020-01-10 15:07:27,4,155,Munchee Cream Crackers,Matara,620
SM-2020000014,10304,2020-01-10 15:07:27,2,325,Sunlight Dishwash Liquid 425ml,Matara,650
SM-2020000014,10304,2020-01-10 15:07:27,1,760,Milk Powder (Anchor) 400g,Matara,760
SM-2020000014,10304,2020-01-10 15:07:27,2,370,Dilmah Tea 200g,Matara,740
SM-2020000014,10304,2020-01-10 15:07:27,1,640,Milk Powder (Ranmalu) 400g,Matara,640
SM-2020000014,10304,2020-01-10 15:07:27,2,1410,Basmathi Rice 5kg,Matara,2820
SM-2020000014,10304,2020-01-10 15:07:27,2,410,Anchor Full Cream Milk (Tin),Matara,820
SM-2020000015,10386,2020-01-10 17:51:28,1,145,Maliban Marie Biscuits,Colombo,145
SM-2020000015,10386,2020-01-10 17:51:28,2,500,Coconut Oil 1L,Colombo,1000
SM-2020000015,10386,2020-01-10 17:51:28,3,315,Dhal (Red Lentils) 1kg,Colombo,945
SM-2020000015,10386,2020-01-10 17:51:28,2,440,Araliya Soap Powder 1kg,Colombo,880
SM-2020000015,10386,2020-01-10 17:51:28,2,175,Sandalwood Soap (3-pack),Colombo,350
SM-2020000015,10386,2020-01-10 17:51:28,1,190,Wheat Flour 1kg,Colombo,190
SM-2020000015,10386,2020-01-10 17:51:28,3,325,Fresh Milk 1L (Pelwatte),Colombo,975
SM-2020000015,10386,2020-01-10 17:51:28,1,290,Maggi Noodles (5-pack),Colombo,290
SM-2020000016,10293,2020-01-10 20:38:31,1,185,Sandalwood Soap (3-pack),Kurunegala,185
SM-2020000016,10293,2020-01-10 20:38:31,3,145,Munchee Cream Crackers,Kurunegala,435
SM-2020000017,10234,2020-01-11 10:54:40,1,255,Signal Toothpaste 120g,Kandy,255
SM-2020000017,10234,2020-01-11 10:54:40,1,250,Curry Powder 250g,Kandy,250
SM-2020000018,10073,2020-01-11 15:18:54,3,145,Munchee Cream Crackers,Colombo,435
SM-2020000018,10073,2020-01-11 15:18:54,4,145,Maliban Marie Biscuits,Colombo,580
SM-2020000018,10073,2020-01-11 15:18:54,1,410,Anchor Full Cream Milk (Tin),Colombo,410
SM-2020000018,10073,2020-01-11 15:18:54,3,145,Bread Loaf (Large),Colombo,435
SM-2020000018,10073,2020-01-11 15:18:54,1,185,White Sugar 1kg,Colombo,185
SM-2020000018,10073,2020-01-11 15:18:54,1,815,Nivea Body Lotion 400ml,Colombo,815
SM-2020000019,10361,2020-01-12 14:59:06,2,765,Milk Powder (Anchor) 400g,Kurunegala,1530
SM-2020000019,10361,2020-01-12 14:59:06,1,250,Signal Toothpaste 120g,Kurunegala,250
SM-2020000019,10361,2020-01-12 14:59:06,1,370,Dilmah Tea 200g,Kurunegala,370
