InvoiceNo,StockCode,Description,Quantity,InvoiceDate,UnitPrice,CustomerID,UnitPrice_LKR,Total_Price_LKR,District
500362,20014,HANDWOVEN COTTON TOTE BAG STRIPE,3,2020-01-25 16:02:44,4.13,,748.887808219178,2246.663424657534,Ampara
500362,20081,WOODEN SPINNING TOP TRADITIONAL,8,2020-01-25 16:02:44,2.15,,389.8568493150685,3118.854794520548,Ampara
500194,20079,COIR WOVEN BRACELET NATURAL,12,2020-02-01 16:29:44,1.98,14616,359.22082191780817,4310.6498630136975,Kandy
500194,20078,BRASS ANKLET TRADITIONAL DESIGN,19,2020-02-01 16:29:44,4.07,14616,738.3983561643836,14029.568767123288,Kandy
500194,20088,SANDALWOOD SOAP BAR HANDMADE,11,2020-02-01 16:29:44,2.17,14616,393.69150684931503,4330.6065753424655,Kandy
500194,20104,HANDLOOM BEDSPREAD DOUBLE SIZE,2,2020-02-01 16:29:44,22.09,14616,4007.6706849315065,8015.341369863013,Kandy
500194,20046,WOODEN MASK TRADITIONAL COBRA DESIGN,4,2020-02-01 16:29:44,9.27,14616,1681.8065753424655,6727.226301369862,Kandy
500129,20023,BATIK WALL HANGING ELEPHANT MOTIF,10,2020-02-19 13:46:08,12.61,,2290.8742465753426,22908.742465753425,Gampaha
500129,20069,CEYLON CURRY POWDER PACK 250G,9,2020-02-19 13:46:08,3.14,,570.4476712328768,5134.029041095891,Gampaha
500129,20024,BATIK COTTON SHIRT MENS BLUE,9,2020-02-19 13:46:08,9.83,,1785.8282191780822,16072.45397260274,Gampaha
500129,20037,CLAY POT PAINTED LARGE,5,2020-02-19 13:46:08,6.74,,1224.4641095890413,6122.320547945206,Gampaha
500129,20041,BRASS ELEPHANT FIGURINE SMALL,4,2020-02-19 13:46:08,4.51,,819.3372602739726,3277.3490410958902,Gampaha
500129,20062,HANDMADE PAPER GIFT WRAP SET OF 3,6,2020-02-19 13:46:08,2.94,,534.1134246575342,3204.680547945205,Gampaha
500129,20089,HERBAL AYURVEDA BATH SET GIFT,8,2020-02-19 13:46:08,9.75,,1771.2945205479452,14170.356164383562,Gampaha
500129,20044,BRASS INCENSE HOLDER ELEPHANT,11,2020-02-19 13:46:08,4.13,,750.3021917808219,8253.32410958904,Gampaha
500129,20072,KOTHAMALLI HERBAL TEA BOX,1,2020-02-19 13:46:08,4.3,,781.186301369863,781.186301369863,Gampaha
500124,20036,CLAY POT PAINTED SMALL,12,2020-03-02 13:48:05,3.26,14086,592.7841095890411,7113.409315068493,Colombo
500124,20029,CANE BASKET WITH LID LARGE,54,2020-03-02 13:48:05,9.81,14086,1783.807397260274,96325.5994520548,Colombo
500124,20031,RATTAN STORAGE BASKET SET OF 3,8,2020-03-02 13:48:05,14.45,14086,2627.5246575342467,21020.197260273973,Colombo
500124,20080,WOODEN ELEPHANT PUZZLE TOY,10,2020-03-02 13:48:05,4.92,14086,894.6312328767124,8946.312328767124,Colombo
500124,20039,TERRACOTTA WIND CHIME,9,2020-03-02 13:48:05,4.08,14086,741.8893150684931,6677.003835616439,Colombo
500124,20094,WOODEN SPICE BOX SET COMPARTMENT,5,2020-03-02 13:48:05,8.99,14086,1634.702191780822,8173.510958904109,Colombo
500124,20056,COCONUT SHELL SPOON SET OF 6,8,2020-03-02 13:48:05,3.29,14086,598.2391780821918,4785.913424657534,Colombo
500323,20059,PALMYRAH LEAF FAN NATURAL,3,2020-03-15 18:05:40,2.31,14085,420.45164383561644,1261.3549315068494,Matale
500323,20040,BRASS OIL LAMP TRADITIONAL,7,2020-03-15 18:05:40,13.09,14085,2382.559315068493,16677.91520547945,Matale
500323,20086,WOODEN RATTLE TOY BABY,2,2020-03-15 18:05:40,2.97,14085,540.5806849315069,1081.1613698630138,Matale
500323,20038,TERRACOTTA OIL BURNER ELEPHANT,7,2020-03-15 18:05:40,4.91,14085,893.6872602739726,6255.810821917808,Matale
500323,20003,HANDLOOM COTTON CUSHION COVER PLAIN NATURAL,7,2020-03-15 18:05:40,4.27,14085,777.1984931506848,5440.389452054794,Matale
500323,20047,WOODEN MASK TRADITIONAL RAKSHA,10,2020-03-15 18:05:40,9.62,14085,1750.9717808219177,17509.71780821918,Matale
